"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"NSW","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",1,0,30
2024,"NSW","Outer Regional Australia","0-16","speed_fines","Police issued",0,0,1
2024,"NSW","Outer Regional Australia","0-16","unlicensed_driving","Not applicable",1,0,3
2024,"NSW","All Regions","0-16","unlicensed_driving","Not applicable",0,0,1
2024,"NT","All Regions","0-16","non_wearing_seatbelts","Police issued",0,0,1
2024,"NT","All Regions","0-16","speed_fines","Fixed and mobile camera",3,0,0
2024,"NT","All Regions","0-16","speed_fines","Fixed and mobile camera",5,0,0
2024,"NT","All Regions","0-16","speed_fines","Police issued",1,0,0
2024,"NT","All Regions","0-16","unlicensed_driving","Not applicable",0,7,17
2024,"QLD","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",199,0,0
2024,"QLD","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",69,0,0
2024,"QLD","All Regions","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",535,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",829,0,0
2024,"QLD","All Regions","0-16","speed_fines","Police issued",3,0,0
2024,"QLD","All Regions","0-16","unlicensed_driving","Not applicable",46,0,0
2024,"SA","Inner Regional Australia","0-16","speed_fines","Police issued",0,1,0
2024,"SA","Major Cities of Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Outer Regional Australia","0-16","speed_fines","Police issued",2,0,0
2024,"SA","All Regions","0-16","unlicensed_driving","Not applicable",0,3,6
2024,"TAS","All Regions","0-16","speed_fines","Police issued",0,0,1
2024,"TAS","All Regions","0-16","unlicensed_driving","Not applicable",0,1,2
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"VIC","All Regions","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","speed_fines","Police issued",2,0,0
2024,"VIC","All Regions","0-16","unlicensed_driving","Not applicable",7,0,0
2024,"WA","All Regions","0-16","speed_fines","Average speed camera",1,0,0
2024,"WA","All Regions","0-16","speed_fines","Fixed and mobile camera",2,0,0
2024,"WA","All Regions","0-16","speed_fines","Fixed and mobile camera",21,0,0
2024,"WA","All Regions","0-16","speed_fines","Red light camera",2,0,0
2024,"WA","All Regions","0-16","speed_fines","Other",0,0,1
2024,"WA","All Regions","0-16","unlicensed_driving","Not applicable",0,10,28
2024,"ACT","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",1,0,0
2024,"ACT","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"ACT","Major Cities of Australia","0-16","speed_fines","Police issued",2,0,0
2024,"ACT","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",4,1,2
2024,"NSW","Inner Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Inner Regional Australia","0-16","speed_fines","Police issued",3,0,0
2024,"NSW","Inner Regional Australia","0-16","unlicensed_driving","Not applicable",2,0,6
2024,"NSW","Major Cities of Australia","0-16","mobile_phone_use","Police issued",3,0,0
2024,"NSW","Major Cities of Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Major Cities of Australia","0-16","speed_fines","Police issued",9,0,2
2024,"NSW","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",4,0,20
2024,"NSW","Outer Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Outer Regional Australia","0-16","speed_fines","Police issued",5,0,0
2024,"NSW","Outer Regional Australia","0-16","unlicensed_driving","Not applicable",0,0,1
2024,"NSW","All Regions","0-16","speed_fines","Police issued",2,0,0
2024,"NSW","All Regions","0-16","unlicensed_driving","Not applicable",1,0,5
2024,"NT","All Regions","0-16","non_wearing_seatbelts","Police issued",0,0,2
2024,"NT","All Regions","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"NT","All Regions","0-16","speed_fines","Fixed and mobile camera",4,0,0
2024,"NT","All Regions","0-16","speed_fines","Other",0,2,4
2024,"NT","All Regions","0-16","unlicensed_driving","Not applicable",0,9,17
2024,"QLD","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",144,0,0
2024,"QLD","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",57,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",634,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",801,0,0
2024,"QLD","All Regions","0-16","speed_fines","Police issued",3,0,0
2024,"QLD","All Regions","0-16","unlicensed_driving","Not applicable",48,0,0
2024,"SA","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"SA","Outer Regional Australia","0-16","speed_fines","Police issued",2,0,0
2024,"SA","All Regions","0-16","unlicensed_driving","Not applicable",0,9,7
2024,"TAS","All Regions","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"TAS","All Regions","0-16","speed_fines","Police issued",0,0,1
2024,"TAS","All Regions","0-16","unlicensed_driving","Not applicable",0,4,2
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","non_wearing_seatbelts","Police issued",2,0,0
2024,"VIC","All Regions","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","speed_fines","Police issued",3,0,0
2024,"VIC","All Regions","0-16","unlicensed_driving","Not applicable",7,0,0
2024,"WA","All Regions","0-16","speed_fines","Average speed camera",3,0,0
2024,"WA","All Regions","0-16","speed_fines","Fixed and mobile camera",6,0,0
2024,"WA","All Regions","0-16","speed_fines","Fixed and mobile camera",17,0,0
2024,"WA","All Regions","0-16","speed_fines","Red light camera",3,0,0
2024,"WA","All Regions","0-16","unlicensed_driving","Not applicable",0,17,49
2024,"ACT","Major Cities of Australia","0-16","mobile_phone_use","Police issued",2,0,0
2024,"ACT","Major Cities of Australia","0-16","speed_fines","Police issued",6,0,0
2024,"NSW","Inner Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Inner Regional Australia","0-16","speed_fines","Police issued",7,0,0
2024,"NSW","Inner Regional Australia","0-16","unlicensed_driving","Not applicable",1,0,4
2024,"NSW","Major Cities of Australia","0-16","mobile_phone_use","Police issued",4,0,0
2024,"NSW","Major Cities of Australia","0-16","non_wearing_seatbelts","Police issued",7,0,0
2024,"NSW","Major Cities of Australia","0-16","speed_fines","Police issued",9,0,2
2024,"NSW","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",2,0,21
2024,"NSW","Outer Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Outer Regional Australia","0-16","speed_fines","Police issued",1,0,0
2024,"NSW","Outer Regional Australia","0-16","unlicensed_driving","Not applicable",0,0,4
2024,"NSW","Remote Australia","0-16","unlicensed_driving","Not applicable",0,0,1
2024,"NSW","All Regions","0-16","unlicensed_driving","Not applicable",0,0,1
2024,"NSW","Very Remote Australia","0-16","unlicensed_driving","Not applicable",0,0,2
2024,"NT","All Regions","0-16","non_wearing_seatbelts","Police issued",0,0,1
2024,"NT","All Regions","0-16","speed_fines","Fixed and mobile camera",2,0,0
2024,"NT","All Regions","0-16","speed_fines","Fixed and mobile camera",3,0,0
2024,"NT","All Regions","0-16","speed_fines","Other",0,0,2
2024,"NT","All Regions","0-16","speed_fines","Police issued",2,0,0
2024,"NT","All Regions","0-16","unlicensed_driving","Not applicable",0,12,26
2024,"QLD","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",152,0,0
2024,"QLD","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",42,0,0
2024,"QLD","All Regions","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",587,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",744,0,0
2024,"QLD","All Regions","0-16","speed_fines","Police issued",2,0,0
2024,"QLD","All Regions","0-16","unlicensed_driving","Not applicable",47,0,0
2024,"SA","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"SA","Major Cities of Australia","0-16","speed_fines","Police issued",2,0,0
2024,"SA","Outer Regional Australia","0-16","speed_fines","Police issued",1,0,0
2024,"SA","All Regions","0-16","unlicensed_driving","Not applicable",0,4,7
2024,"TAS","All Regions","0-16","speed_fines","Police issued",0,0,1
2024,"TAS","All Regions","0-16","unlicensed_driving","Not applicable",0,1,8
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Remote Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","All Regions","0-16","speed_fines","Police issued",1,0,0
2024,"VIC","All Regions","0-16","unlicensed_driving","Not applicable",6,0,0
2024,"WA","All Regions","0-16","speed_fines","Average speed camera",1,0,0
2024,"WA","All Regions","0-16","speed_fines","Fixed and mobile camera",5,0,0
2024,"WA","All Regions","0-16","speed_fines","Fixed and mobile camera",15,0,0
2024,"WA","All Regions","0-16","speed_fines","Police issued",1,0,0
2024,"WA","All Regions","0-16","speed_fines","Red light camera",5,0,0
2024,"WA","All Regions","0-16","unlicensed_driving","Not applicable",0,10,36
2024,"ACT","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",1,0,0
2024,"ACT","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",2,0,0
2024,"ACT","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"ACT","Major Cities of Australia","0-16","speed_fines","Police issued",3,1,1
2024,"ACT","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",0,3,3
2024,"NSW","Inner Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Inner Regional Australia","0-16","speed_fines","Police issued",3,0,2
2024,"NSW","Inner Regional Australia","0-16","unlicensed_driving","Not applicable",2,0,17
2024,"NSW","Major Cities of Australia","0-16","mobile_phone_use","Police issued",1,0,0
2024,"NSW","Major Cities of Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Major Cities of Australia","0-16","speed_fines","Police issued",5,0,0
2024,"NSW","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",1,0,18
2024,"NSW","Outer Regional Australia","0-16","mobile_phone_use","Police issued",1,0,0
2024,"NSW","Outer Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Outer Regional Australia","0-16","speed_fines","Police issued",2,0,0
2024,"NSW","Outer Regional Australia","0-16","unlicensed_driving","Not applicable",1,0,7
2024,"NSW","Remote Australia","0-16","unlicensed_driving","Not applicable",0,0,1
2024,"NSW","All Regions","0-16","unlicensed_driving","Not applicable",0,0,3
2024,"NT","All Regions","0-16","speed_fines","Fixed and mobile camera",3,0,0
2024,"NT","All Regions","0-16","speed_fines","Other",0,0,1
2024,"NT","All Regions","0-16","speed_fines","Police issued",3,0,0
2024,"NT","All Regions","0-16","unlicensed_driving","Not applicable",0,10,23
2024,"QLD","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",144,0,0
2024,"QLD","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",42,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",604,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",873,0,0
2024,"QLD","All Regions","0-16","speed_fines","Police issued",5,0,0
2024,"QLD","All Regions","0-16","unlicensed_driving","Not applicable",48,0,0
2024,"SA","Major Cities of Australia","0-16","non_wearing_seatbelts","Police issued",2,0,0
2024,"SA","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"SA","Outer Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Outer Regional Australia","0-16","speed_fines","Police issued",0,0,1
2024,"SA","Remote Australia","0-16","speed_fines","Police issued",1,0,0
2024,"SA","All Regions","0-16","unlicensed_driving","Not applicable",0,4,2
2024,"TAS","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",1,0,0
2024,"TAS","All Regions","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"TAS","All Regions","0-16","unlicensed_driving","Not applicable",0,1,5
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
